Label:, CH2: Power Spectrum
DateTime:, Wed Jan  1 00:08:23 2003
DataKind:, CH2, PowerSpec, Mag
DataPoints:, 802
DataCalc:
Frequency:, 0.000 , 1600.000, Hz
Sample:, 2048, Internal
Average:, 0, Power/Sum
Voltage(CH2):, 10.000, dBVrms
EU/V(CH2):, 1.000E+00
Window(CH2):, Hann
X-AxisScale:, Lin
X-AxisUnit:, Hz
Y-AxisScale:, Log
Y-AxisUnit:, V
Y-AxisMagniude:, rms
2.68000000E+02, -9.82992903E+01
2.70000000E+02, -9.32113551E+01
2.72000000E+02, -9.83246207E+01
2.74000000E+02, -1.04105441E+02
2.76000000E+02, -1.07301127E+02
2.78000000E+02, -1.00751852E+02
2.80000000E+02, -9.37414863E+01
2.82000000E+02, -8.99653181E+01
2.84000000E+02, -1.05537858E+02
2.86000000E+02, -9.62565018E+01
2.88000000E+02, -9.93214521E+01
2.90000000E+02, -9.99050577E+01
2.92000000E+02, -8.85200820E+01
2.94000000E+02, -8.49359943E+01
2.96000000E+02, -9.58194795E+01
2.98000000E+02, -9.88477179E+01
3.00000000E+02, -1.12994864E+02
3.02000000E+02, -9.60205407E+01
3.04000000E+02, -8.45404539E+01
3.06000000E+02, -8.09385730E+01
3.08000000E+02, -8.45954128E+01
3.10000000E+02, -8.76289083E+01
3.12000000E+02, -9.91008166E+01
3.14000000E+02, -9.75621971E+01
3.16000000E+02, -9.17012982E+01
3.18000000E+02, -8.51762491E+01
3.20000000E+02, -8.81932154E+01
3.22000000E+02, -1.00013050E+02
3.24000000E+02, -9.63964111E+01
3.26000000E+02, -9.63766887E+01
3.28000000E+02, -8.53983235E+01
3.30000000E+02, -8.32255730E+01
3.32000000E+02, -9.15317934E+01
3.34000000E+02, -9.50026798E+01
3.36000000E+02, -9.71152942E+01
3.38000000E+02, -9.49587704E+01
3.40000000E+02, -9.51174163E+01
3.42000000E+02, -9.37024203E+01
3.44000000E+02, -9.26948732E+01
3.46000000E+02, -9.65882231E+01
3.48000000E+02, -1.03631979E+02
3.50000000E+02, -9.22114757E+01
3.52000000E+02, -9.04902243E+01
3.54000000E+02, -9.32631709E+01
3.56000000E+02, -9.20143436E+01
3.58000000E+02, -9.82604600E+01
3.60000000E+02, -9.52935623E+01
3.62000000E+02, -8.48979850E+01
3.64000000E+02, -7.82021547E+01
3.66000000E+02, -8.39250889E+01
3.68000000E+02, -9.35555445E+01
3.70000000E+02, -1.04230650E+02
3.72000000E+02, -9.40451409E+01
3.74000000E+02, -9.36955333E+01
3.76000000E+02, -8.66050624E+01
3.78000000E+02, -8.43323883E+01
3.80000000E+02, -8.83195268E+01
3.82000000E+02, -9.38256058E+01
3.84000000E+02, -9.18250057E+01
3.86000000E+02, -8.17839833E+01
3.88000000E+02, -7.69968593E+01
3.90000000E+02, -8.51458963E+01
3.92000000E+02, -9.30857753E+01
3.94000000E+02, -8.95059394E+01
3.96000000E+02, -8.70708943E+01
3.98000000E+02, -8.50645332E+01
4.00000000E+02, -7.92843601E+01
4.02000000E+02, -8.55356964E+01
4.04000000E+02, -1.11405722E+02
4.06000000E+02, -9.56120258E+01
4.08000000E+02, -9.03194277E+01
4.10000000E+02, -8.23983635E+01
4.12000000E+02, -8.18675673E+01
4.14000000E+02, -1.06033392E+02
4.16000000E+02, -8.79957173E+01
4.18000000E+02, -9.09309876E+01
4.20000000E+02, -9.25032872E+01
4.22000000E+02, -8.05824952E+01
4.24000000E+02, -7.99801936E+01
4.26000000E+02, -9.78609004E+01
4.28000000E+02, -9.49557840E+01
4.30000000E+02, -9.31433518E+01
4.32000000E+02, -9.04917170E+01
4.34000000E+02, -1.02481929E+02
4.36000000E+02, -1.01390437E+02
4.38000000E+02, -1.12268714E+02
4.40000000E+02, -1.04191848E+02
4.42000000E+02, -9.82317210E+01
4.44000000E+02, -9.15186697E+01
4.46000000E+02, -8.50814189E+01
4.48000000E+02, -8.65963402E+01
4.50000000E+02, -9.78747401E+01
4.52000000E+02, -9.56929136E+01
4.54000000E+02, -9.39401663E+01
4.56000000E+02, -8.98069671E+01
4.58000000E+02, -9.41782231E+01
4.60000000E+02, -9.57385606E+01
4.62000000E+02, -9.36929673E+01
4.64000000E+02, -1.07010583E+02
4.66000000E+02, -9.28583551E+01
4.68000000E+02, -8.50586107E+01
4.70000000E+02, -8.28053421E+01
4.72000000E+02, -8.58061064E+01
4.74000000E+02, -9.78635953E+01
4.76000000E+02, -1.09951640E+02
4.78000000E+02, -1.02888808E+02
4.80000000E+02, -9.76941641E+01
4.82000000E+02, -9.51627622E+01
4.84000000E+02, -1.06241132E+02
4.86000000E+02, -9.67163815E+01
4.88000000E+02, -1.05253863E+02
4.90000000E+02, -9.01895737E+01
4.92000000E+02, -8.38111211E+01
