Label:, CH2: Power Spectrum
DateTime:, Wed Jan  1 00:05:34 2003
DataKind:, CH2, PowerSpec, Mag
DataPoints:, 802
DataCalc:
Frequency:, 0.000 , 500.000, Hz
Sample:, 2048, Internal
Average:, 0, Power/Sum
Voltage(CH2):, 10.000, dBVrms
EU/V(CH2):, 1.000E+00
Window(CH2):, Hann
X-AxisScale:, Lin
X-AxisUnit:, Hz
Y-AxisScale:, Log
Y-AxisUnit:, V
Y-AxisMagniude:, rms
8.37500000E+01, -9.50782476E+01
8.43750000E+01, -9.52784540E+01
8.50000000E+01, -8.07508441E+01
8.56250000E+01, -7.33330698E+01
8.62500000E+01, -7.61718240E+01
8.68750000E+01, -8.51316887E+01
8.75000000E+01, -9.25855525E+01
8.81250000E+01, -8.82700855E+01
8.87500000E+01, -9.19967298E+01
8.93750000E+01, -9.25527707E+01
9.00000000E+01, -8.91971925E+01
9.06250000E+01, -9.02605510E+01
9.12500000E+01, -9.17560981E+01
9.18750000E+01, -9.47995100E+01
9.25000000E+01, -1.01909160E+02
9.31250000E+01, -8.89156289E+01
9.37500000E+01, -8.31142793E+01
9.43750000E+01, -8.09983409E+01
9.50000000E+01, -8.24521596E+01
9.56250000E+01, -8.44247251E+01
9.62500000E+01, -9.23177748E+01
9.68750000E+01, -9.89218812E+01
9.75000000E+01, -8.67987440E+01
9.81250000E+01, -7.86157040E+01
9.87500000E+01, -7.74470234E+01
9.93750000E+01, -8.18311788E+01
1.00000000E+02, -9.11255920E+01
1.00625000E+02, -8.52505602E+01
1.01250000E+02, -8.11704749E+01
1.01875000E+02, -8.40374948E+01
1.02500000E+02, -8.80073998E+01
1.03125000E+02, -8.41057394E+01
1.03750000E+02, -8.12189476E+01
1.04375000E+02, -8.63822119E+01
1.05000000E+02, -8.53900033E+01
1.05625000E+02, -8.27347739E+01
1.06250000E+02, -9.19720893E+01
1.06875000E+02, -7.83071566E+01
1.07500000E+02, -8.18330868E+01
1.08125000E+02, -8.63130557E+01
1.08750000E+02, -9.31105947E+01
1.09375000E+02, -8.67537277E+01
1.10000000E+02, -8.29026511E+01
1.10625000E+02, -8.88811446E+01
1.11250000E+02, -8.83247217E+01
1.11875000E+02, -8.82538019E+01
1.12500000E+02, -9.02265744E+01
1.13125000E+02, -9.73750773E+01
1.13750000E+02, -9.28205202E+01
1.14375000E+02, -8.77872559E+01
1.15000000E+02, -8.37073907E+01
1.15625000E+02, -8.20558879E+01
1.16250000E+02, -8.46432399E+01
1.16875000E+02, -8.63924576E+01
1.17500000E+02, -8.69287238E+01
1.18125000E+02, -9.05062415E+01
1.18750000E+02, -8.83058220E+01
1.19375000E+02, -8.84020209E+01
1.20000000E+02, -8.40505572E+01
1.20625000E+02, -9.15234559E+01
1.21250000E+02, -8.55641110E+01
1.21875000E+02, -8.89474345E+01
1.22500000E+02, -9.06181453E+01
1.23125000E+02, -8.48648941E+01
1.23750000E+02, -8.36008774E+01
1.24375000E+02, -8.90581872E+01
1.25000000E+02, -9.46128738E+01
1.25625000E+02, -9.22630305E+01
1.26250000E+02, -9.87793699E+01
1.26875000E+02, -9.19640730E+01
1.27500000E+02, -8.44701531E+01
1.28125000E+02, -7.99219304E+01
1.28750000E+02, -8.18244986E+01
1.29375000E+02, -8.81174022E+01
1.30000000E+02, -8.99126429E+01
1.30625000E+02, -9.78744198E+01
1.31250000E+02, -9.26834767E+01
1.31875000E+02, -9.43931870E+01
1.32500000E+02, -8.40950835E+01
1.33125000E+02, -8.76126269E+01
1.33750000E+02, -9.68067989E+01
1.34375000E+02, -9.24519459E+01
1.35000000E+02, -1.00529693E+02
1.35625000E+02, -9.14763205E+01
1.36250000E+02, -9.07564928E+01
1.36875000E+02, -7.98246646E+01
1.37500000E+02, -8.49125005E+01
1.38125000E+02, -8.71409554E+01
1.38750000E+02, -8.86706752E+01
1.39375000E+02, -9.61818858E+01
1.40000000E+02, -9.21212427E+01
1.40625000E+02, -9.11278816E+01
1.41250000E+02, -8.37545018E+01
1.41875000E+02, -8.41421464E+01
1.42500000E+02, -8.95562297E+01
1.43125000E+02, -9.73164864E+01
1.43750000E+02, -9.70437836E+01
1.44375000E+02, -8.60070557E+01
1.45000000E+02, -8.45543117E+01
1.45625000E+02, -8.31911463E+01
1.46250000E+02, -8.70159798E+01
1.46875000E+02, -9.08821083E+01
1.47500000E+02, -9.84365949E+01
1.48125000E+02, -9.24713201E+01
1.48750000E+02, -9.06350664E+01
1.49375000E+02, -8.75727990E+01
1.50000000E+02, -8.39661681E+01
1.50625000E+02, -8.87352427E+01
1.51250000E+02, -9.22471768E+01
1.51875000E+02, -9.46984707E+01
1.52500000E+02, -8.98468578E+01
